Call Id,Date,Agent,Department,Answered (Y/N),Resolved,Speed of Answer,AvgTalkDuration,Satisfaction rating,Column1
ID0001,1/1/2016 9:12,Diane,Washing Machine,Y,Y,109,0:02:23,3,FALSE
ID0002,1/1/2016 9:12,Becky,Air Conditioner,Y,N,70,0:04:02,3,FALSE
ID0003,1/1/2016 9:47,Stewart,Washing Machine,Y,Y,10,0:02:11,3,FALSE
ID0004,1/1/2016 9:47,Greg,Washing Machine,Y,Y,53,0:00:37,2,FALSE
ID0005,1/1/2016 10:00,Becky,Toaster,Y,Y,95,0:01:00,3,FALSE
ID0006,1/1/2016 10:00,Stewart,Air Conditioner,N,N,,,,FALSE
ID0007,1/1/2016 10:22,Diane,Toaster,Y,Y,24,0:03:40,2,FALSE
ID0008,1/1/2016 10:22,Diane,Toaster,Y,Y,22,0:00:38,4,FALSE
ID0009,1/1/2016 11:13,Greg,Fridge,Y,Y,15,0:06:38,4,FALSE
ID0010,1/1/2016 11:13,Jim,Television,Y,Y,78,0:01:04,3,FALSE
ID0011,1/1/2016 11:15,Joe,Toaster,N,N,,,,FALSE
ID0012,1/1/2016 11:15,Greg,Toaster,Y,Y,50,0:00:32,4,FALSE
ID0013,1/1/2016 11:52,Joe,Toaster,Y,Y,84,0:03:34,3,FALSE
ID0014,1/1/2016 11:52,Martha,Washing Machine,Y,Y,89,0:05:44,3,FALSE
ID0015,1/1/2016 11:55,Becky,Fridge,Y,Y,48,0:03:47,4,FALSE
ID0016,1/1/2016 11:55,Becky,Fridge,Y,Y,63,0:05:26,2,FALSE
ID0017,1/1/2016 11:57,Greg,Air Conditioner,Y,Y,45,0:05:32,5,FALSE
ID0018,1/1/2016 11:57,Becky,Fridge,N,N,,,,FALSE
ID0019,1/1/2016 12:01,Jim,Television,N,N,,,,FALSE
ID0020,1/1/2016 12:01,Jim,Washing Machine,Y,Y,101,0:02:27,3,FALSE
ID0021,1/1/2016 12:02,Jim,Air Conditioner,Y,Y,74,0:05:22,5,FALSE
ID0022,1/1/2016 12:02,Dan,Fridge,Y,Y,89,0:05:50,5,FALSE
ID0023,1/1/2016 12:02,Martha,Air Conditioner,N,N,,,,FALSE
ID0024,1/1/2016 12:02,Joe,Air Conditioner,Y,Y,68,0:05:25,2,FALSE
ID0025,1/1/2016 12:30,Diane,Television,Y,Y,97,0:04:09,3,FALSE
ID0026,1/1/2016 12:30,Dan,Toaster,N,N,,,,FALSE
ID0027,1/1/2016 12:40,Joe,Television,Y,Y,39,0:04:00,3,FALSE
ID0028,1/1/2016 12:40,Martha,Washing Machine,Y,Y,51,0:02:34,4,FALSE
ID0029,1/1/2016 12:40,Joe,Air Conditioner,Y,Y,106,0:02:09,4,FALSE
ID0030,1/1/2016 12:40,Stewart,Television,Y,Y,107,0:05:55,3,FALSE
ID0031,1/1/2016 13:24,Joe,Fridge,Y,Y,22,0:05:08,3,FALSE
ID0032,1/1/2016 13:24,Joe,Television,Y,Y,122,0:02:08,4,FALSE
ID0033,1/1/2016 13:33,Diane,Air Conditioner,Y,Y,57,0:06:49,3,FALSE
ID0034,1/1/2016 13:33,Jim,Toaster,Y,N,53,0:01:44,2,FALSE
ID0035,1/1/2016 13:42,Becky,Television,Y,Y,119,0:01:31,5,FALSE
ID0036,1/1/2016 13:42,Diane,Television,N,N,,,,FALSE
ID0037,1/1/2016 13:42,Martha,Air Conditioner,Y,N,20,0:01:12,2,FALSE
ID0038,1/1/2016 13:42,Joe,Air Conditioner,Y,Y,52,0:00:36,3,FALSE
ID0039,1/1/2016 14:38,Stewart,Washing Machine,Y,Y,74,0:06:41,1,FALSE
ID0040,1/1/2016 14:38,Greg,Air Conditioner,Y,Y,49,0:02:29,3,FALSE
ID0041,1/1/2016 14:47,Jim,Air Conditioner,Y,Y,27,0:02:09,5,FALSE
ID0042,1/1/2016 14:47,Greg,Washing Machine,Y,Y,100,0:04:54,5,FALSE
ID0043,1/1/2016 14:47,Diane,Air Conditioner,Y,Y,45,0:06:21,3,FALSE
ID0044,1/1/2016 14:47,Becky,Toaster,Y,Y,98,0:03:14,5,FALSE
ID0045,1/1/2016 15:44,Diane,Fridge,Y,Y,25,0:05:13,5,FALSE
ID0046,1/1/2016 15:44,Jim,Washing Machine,N,N,,,,FALSE
ID0047,1/1/2016 17:13,Dan,Fridge,Y,Y,107,0:02:22,3,FALSE
ID0048,1/1/2016 17:13,Martha,Washing Machine,N,N,,,,FALSE
ID0049,1/1/2016 17:25,Joe,Air Conditioner,Y,Y,104,0:03:35,5,FALSE
ID0050,1/1/2016 17:25,Dan,Air Conditioner,N,N,,,,FALSE
ID0051,1/1/2016 17:35,Martha,Washing Machine,N,N,,,,FALSE
ID0052,1/1/2016 17:35,Jim,Fridge,N,N,,,,FALSE
ID0053,1/1/2016 17:36,Stewart,Toaster,Y,Y,13,0:01:15,5,FALSE
ID0054,1/1/2016 17:36,Dan,Toaster,Y,Y,119,0:02:32,5,FALSE
ID0055,1/1/2016 17:44,Becky,Television,Y,Y,35,0:01:19,3,FALSE
ID0056,1/1/2016 17:44,Dan,Television,Y,Y,83,0:06:45,4,FALSE
ID0057,1/1/2016 17:57,Jim,Air Conditioner,Y,Y,48,0:02:52,2,FALSE
ID0058,1/1/2016 17:57,Stewart,Fridge,Y,Y,45,0:03:23,5,FALSE
ID0059,2/1/2016 9:05,Dan,Air Conditioner,Y,Y,65,0:06:00,5,FALSE
ID0060,2/1/2016 9:05,Dan,Washing Machine,Y,Y,50,0:04:26,3,FALSE
ID0061,2/1/2016 9:18,Diane,Television,Y,Y,17,0:06:15,3,FALSE
ID0062,2/1/2016 9:18,Joe,Air Conditioner,N,N,,,,FALSE
ID0063,2/1/2016 9:20,Dan,Television,Y,Y,96,0:06:46,1,FALSE
ID0064,2/1/2016 9:20,Stewart,Television,Y,Y,90,0:06:23,3,FALSE
ID0065,2/1/2016 9:38,Jim,Washing Machine,Y,Y,98,0:06:25,2,FALSE
ID0066,2/1/2016 9:38,Diane,Air Conditioner,Y,N,90,0:01:23,4,FALSE
ID0067,2/1/2016 10:04,Jim,Washing Machine,Y,Y,98,0:05:49,5,FALSE
ID0068,2/1/2016 10:04,Jim,Washing Machine,Y,Y,70,0:03:12,5,FALSE
ID0069,2/1/2016 10:33,Diane,Washing Machine,Y,Y,69,0:04:45,4,FALSE
ID0070,2/1/2016 10:33,Diane,Fridge,N,N,,,,FALSE
ID0071,2/1/2016 11:08,Joe,Air Conditioner,Y,Y,120,0:02:11,4,FALSE
